project,current_version_snapshot,implemented_feature,next_or_proposed
D3 Eco Site / Newsroom Observatory,V4,Economist topic/country trend views,Automate larger Economist corpus/catalog ingestion
D3 Eco Site / Newsroom Observatory,V4,Cover → derived-metric D3 dashboard,4-week trend deltas and topic-country co-occurrence
D3 Eco Site / Newsroom Observatory,V4,BBC/NRK source cards + story fingerprints,Country network / Sankey views
D3 Eco Site / Newsroom Observatory,V4,25-demo D3 Recovery Lab,Persist selected weekly BBC/NRK visual stories
D3 Eco Site / Newsroom Observatory,V4,Shareable URL filter state + Copy view,Editorial annotation layer
ML / Data Science Web — ML Business Atlas,v6,"Tool, Business and Data explorer lenses",Expand animated concept coverage
ML / Data Science Web — ML Business Atlas,v6,Understand + Deep Dive explanation levels,Add more realistic business case datasets
ML / Data Science Web — ML Business Atlas,v6,Animated row operations and train/test split,Add interview-oriented scenario routes
ML / Data Science Web — ML Business Atlas,v6,10 algorithm visual mental models,Add shareable/deep-linked explorer states
ML / Data Science Web — ML Business Atlas,v6,Leakage toggle and ML-system pipeline,
Architecture Web — Cloud Architecture Atlas,v0.9,Conceptual Source→Move→Store→Process→Model→Serve model,Production-build verification in CI/local environment
Architecture Web — Cloud Architecture Atlas,v0.9,16 architecture variants across workload families,Broaden architecture scenarios and service matrices
Architecture Web — Cloud Architecture Atlas,v0.9,Pin-able architecture stages,More export/copy workflows for diagrams
Architecture Web — Cloud Architecture Atlas,v0.9,Cross-cloud Stage Lens,Keep 2026 runtime/availability notes current
Architecture Web — Cloud Architecture Atlas,v0.9,Modern stack explorer + D3 capability map + Mermaid reference,
Microsoft / Cloud News Hub — Product Watch,v3,Discover view with search/filter/sort,Stronger dedupe/classification quality checks
Microsoft / Cloud News Hub — Product Watch,v3,Sources directory + per-source history,Source-health observability and stale-source alerts
Microsoft / Cloud News Hub — Product Watch,v3,Publications separated from trusted feed,Expand supported social APIs only when reliable
Microsoft / Cloud News Hub — Product Watch,v3,YouTube social history,Improve archive/live-history browsing
Microsoft / Cloud News Hub — Product Watch,v3,Daily GitHub Actions JSON refresh + source health,
Data Engineering LeetCode Trainer,v2.12.2,323 practice items across 24 tracks,Expand troubleshooting/interview scenarios
Data Engineering LeetCode Trainer,v2.12.2,T-SQL/DuckDB/BigQuery variants,More engine-translation drills
Data Engineering LeetCode Trainer,v2.12.2,SQL/pandas/PySpark multi-engine challenges,Deeper mastery/progress analytics
Data Engineering LeetCode Trainer,v2.12.2,19 animated concept scene families,Continue visual coverage without generic Mermaid micro-behavior
Data Engineering LeetCode Trainer,v2.12.2,"Monaco themes, hints, notes, progress backup/restore",
Code Updates Site — Data & Coding Memory Toolbox,Seed 2026-09-03,38-tool searchable registry,Safe automated version refresh
Code Updates Site — Data & Coding Memory Toolbox,Seed 2026-09-03,Alias-aware search + category/depth filters,Last-known-good protection on collector failures
Code Updates Site — Data & Coding Memory Toolbox,Seed 2026-09-03,Tool detail drawer,Expand compatibility snapshots carefully
Code Updates Site — Data & Coding Memory Toolbox,Seed 2026-09-03,Release history and compatibility notes,Keep first-party verification workflow explicit
Code Updates Site — Data & Coding Memory Toolbox,Seed 2026-09-03,Deep links such as #tool=python,
Portfolio Main — Project Radar,v5,Single Role Radar view,Keep project links synchronized with current portfolio
Portfolio Main — Project Radar,v5,Six project nodes as direct links,Optional lightweight project-status/version badges
Portfolio Main — Project Radar,v5,Animated packets along project→role routes,Preserve single-view simplicity rather than re-adding panels
Portfolio Main — Project Radar,v5,Pulsing role icons,
Portfolio Main — Project Radar,v5,Central datapassj.com link + right-side contact card/QR,
D3 Various / Animals — World Extremes,Data snapshot 2026-09-04,Fastest-animal comparison + animated race,Broaden record families and primary-source coverage
D3 Various / Animals — World Extremes,Data snapshot 2026-09-04,Apex predators by habitat,More interactive record-definition/protocol filters
D3 Various / Animals — World Extremes,Data snapshot 2026-09-04,Aircraft and production-car record classes,Expose uncertainty/approximation more visually
D3 Various / Animals — World Extremes,Data snapshot 2026-09-04,EV battery trade-off views,Continue provenance-first visual comparisons
D3 Various / Animals — World Extremes,Data snapshot 2026-09-04,Tallest buildings/towers + real-world vertical scale,
